,tradePrice,segment,productType,tradedQty,symbol,orderDateTime,tradeValue,side,orderType
5,810.5,10,CO,1,NSE:SBIN-EQ,17-10-2024 10:10,810.5,1,2
0,103.71,10,CO,2,NSE:PNB-EQ,18-10-2024 10:19,207.42,-1,2
1,1238.45,10,CO,1,NSE:ICICIBANK-EQ,18-10-2024 09:45,1238.45,1,2
2,103.7,10,CO,1,NSE:PNB-EQ,18-10-2024 10:20,103.7,1,2
3,424.5,10,CO,1,NSE:NTPC-EQ,18-10-2024 12:12,424.5,-1,2
4,103.95,10,CO,2,NSE:PNB-EQ,18-10-2024 10:13,207.9,1,2
5,103.58,10,CO,1,NSE:PNB-EQ,18-10-2024 10:44,103.58,-1,2
6,1240.55,10,CO,1,NSE:ICICIBANK-EQ,18-10-2024 09:48,1240.55,-1,2
7,424.25,10,CO,1,NSE:NTPC-EQ,18-10-2024 11:57,424.25,1,2
0,194.13,10,CO,1,NSE:FEDERALBNK-EQ,21-10-2024 12:46,194.13,-1,1
1,188.9,10,CO,1,NSE:ENGINERSIN-EQ,21-10-2024 09:53,188.9,1,2
2,196.12,10,CO,1,NSE:FEDERALBNK-EQ,21-10-2024 10:35,196.12,1,2
3,185.7,10,CO,1,NSE:ENGINERSIN-EQ,21-10-2024 12:57,185.7,-1,2
4,187.9,10,CO,1,NSE:ENGINERSIN-EQ,21-10-2024 14:05,187.9,1,2
5,186.15,10,CO,1,NSE:ENGINERSIN-EQ,21-10-2024 15:03,186.15,-1,2
0,1729.8,10,CO,1,NSE:HDFCBANK-EQ,22-10-2024 09:40,1729.8,-1,2
1,1736.65,10,CO,1,NSE:HDFCBANK-EQ,22-10-2024 09:49,1736.65,-1,2
2,1733.45,10,CO,1,NSE:HDFCBANK-EQ,22-10-2024 09:45,1733.45,1,2
3,1732.8,10,CO,1,NSE:HDFCBANK-EQ,22-10-2024 09:34,1732.8,1,2
4,486.05,10,CO,1,NSE:ITC-EQ,22-10-2024 09:49,486.05,-1,2
5,485,10,CO,1,NSE:ITC-EQ,22-10-2024 09:25,485,1,2
0,1856.95,10,CO,1,NSE:INFY-EQ,23-10-2024 10:04,1856.95,-1,2
1,272.05,10,CO,1,NSE:MARKSANS-EQ,23-10-2024 11:47,272.05,-1,2
